"","time","gender","age","degree","country","light","shaq","fossil","kilo","mm","food","inseam","weather","electronCharge","earlyHuman","laser","continents","antibiotics","electronSize","earthCenter","religiousView","dailyLife","SciOnLife","SciEffect"
"56","3/27/2013 16:39:01","Female","23-30","Master Degree or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","I do not know. ","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"57","3/27/2013 19:37:56","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","I don't know","A Short sleeve shirt","Positive charge","FALSE","I do not know. ","TRUE","FALSE","FALSE","TRUE","Yes","FALSE","TRUE","Not sure"
"58","3/27/2013 19:41:55","Female","18-22","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is tall","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","Not sure"
"59","3/27/2013 19:42:17","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","Yes","I don't know","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","TRUE"
"60","3/27/2013 19:42:57","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"61","3/27/2013 19:45:11","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","100 x",1.45,"I don't know","This person is tall","A winter coat","Negative charge","FALSE","I do not know. ","I do not know. ","TRUE","I do no know. ","TRUE","Yes","Neutral","TRUE","TRUE"
"62","3/27/2013 19:45:56","Female","18-22","High School or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.0145,"Agree","I don't know","A light jacket","Negative charge","I do not know.","FALSE","I do not know. ","TRUE","FALSE","I do not know.","Yes","FALSE","TRUE","TRUE"
"63","3/27/2013 19:51:11","Female","23-30","Bachelor Degree in Science or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.0145,"Dis-agree","This person is short","A light jacket","Neutron","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"64","3/27/2013 19:56:34","Female","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"I don't know","This person is tall","I don't know","Negative charge","FALSE","I do not know. ","TRUE","TRUE","True ","TRUE","I do not know","Maybe","FALSE","FALSE"
"65","3/27/2013 19:58:53","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
